Data;Ora;Finestra;mm;Flag
1991-11-20;00:00;24h;18.0;D
1991-11-21;00:00;12h;16.0;D
1991-11-21;00:00;1h;5.2;D
1991-11-21;00:00;3h;13.0;D
1991-11-21;00:00;6h;14.2;D
1992-08-10;00:00;10mn;17.4;D
1992-08-10;00:00;15mn;18.8;D
1992-08-10;00:00;20mn;19.4;D
1992-08-10;00:00;5mn;12.4;D
1992-10-10;00:00;3h;37.4;D
1992-10-16;00:00;24h;108.0;D
1992-10-17;00:00;12h;77.6;D
1992-10-17;00:00;1h;30.2;D
1992-10-17;00:00;30mn;21.6;D
1992-10-17;00:00;6h;42.0;D
1993-05-16;00:00;30mn;20.0;D
1993-08-27;00:00;10mn;13.0;D
1993-08-27;00:00;15mn;15.6;D
1993-08-27;00:00;20mn;17.2;D
1993-08-27;00:00;5mn;9.6;D
1993-09-24;00:00;12h;51.2;D
1993-09-24;00:00;24h;69.4;D
1993-09-24;00:00;6h;47.0;D
1993-10-14;00:00;1h;26.4;D
1993-10-14;00:00;3h;35.4;D
1994-06-11;00:00;24h;90.6;D
1994-09-08;00:00;12h;77.0;D
1994-09-08;00:00;1h;51.6;D
1994-09-08;00:00;3h;77.0;D
1994-09-08;00:00;6h;77.0;D
1994-09-14;00:00;10mn;15.0;D
1994-09-14;00:00;20mn;23.8;D
1994-09-14;00:00;30mn;35.0;D
1995-06-23;00:00;12h;64.6;D
1995-06-23;00:00;24h;91.2;D
1995-06-23;00:00;6h;50.2;D
1995-07-05;00:00;10mn;12.4;D
1995-07-05;00:00;1h;24.6;D
1995-07-05;00:00;20mn;20.6;D
1995-07-05;00:00;3h;30.2;D
1995-08-08;00:00;30mn;23.4;D
1996-06-07;00:00;10mn;8.0;D
1996-06-07;00:00;20mn;14.2;D
1996-06-07;00:00;30mn;15.4;D
1996-12-13;00:00;12h;69.6;D
1996-12-13;00:00;24h;109.6;D
1996-12-13;00:00;6h;50.0;D
1996-12-14;00:00;1h;18.8;D
1996-12-14;00:00;3h;30.0;D
1997-06-19;00:00;24h;50.0;D
1997-06-20;00:00;1h;19.2;D
1997-06-20;00:00;30mn;15.6;D
1997-06-20;00:00;3h;29.8;D
1997-11-22;00:00;12h;45.4;D
1997-11-22;00:00;6h;32.0;D
1998-09-30;00:00;3h;53.2;D
1998-09-30;00:00;6h;61.6;D
1998-10-01;00:00;1h;31.4;D
1998-10-19;00:00;30mn;25.6;D
1998-11-03;00:00;12h;73.4;D
1998-11-03;00:00;24h;133.8;D
1999-02-09;00:00;12h;87.2;D
1999-02-09;00:00;24h;90.4;D
1999-05-04;00:00;30mn;26.4;D
1999-05-04;00:00;3h;49.4;D
1999-05-04;00:00;6h;58.2;D
1999-08-27;14:15;15mn;17.8;V
1999-08-27;00:00;1h;32.4;D
2000-08-05;00:00;15mn;22.2;D
2000-08-05;00:00;1h;39.6;D
2000-08-05;00:00;30mn;32.2;D
2000-11-06;00:00;12h;91.8;D
2000-11-06;00:00;24h;109.2;D
2000-11-06;00:00;3h;52.2;D
2000-11-06;00:00;6h;63.0;D
2001-03-02;00:00;24h;76.6;D
2001-03-02;00:00;6h;36.2;D
2001-09-23;00:00;12h;62.4;D
2001-09-23;00:00;15mn;14.4;D
2001-09-23;00:00;1h;24.6;D
2001-09-23;00:00;30mn;20.4;D
2001-09-23;00:00;3h;34.2;D
2002-02-15;00:00;12h;42.8;D
2002-02-15;00:00;24h;59.2;D
2002-05-04;00:00;6h;31.8;D
2002-08-06;00:00;1h;13.0;D
2002-08-06;00:00;30mn;11.6;D
2002-08-06;00:00;3h;23.2;D
2002-08-23;00:00;15mn;8.6;D
2003-02-03;00:00;12h;58.4;D
2003-02-03;00:00;24h;76.8;D
2003-02-03;00:00;6h;43.2;D
2003-02-04;00:00;15mn;12.8;D
2003-02-04;00:00;3h;32.2;D
2003-03-02;00:00;1h;20.2;D
2003-03-02;00:00;30mn;16.4;D
2004-02-22;07:45;24h;59.4;V
2004-09-14;21:00;12h;42.8;V
2004-09-14;15:15;1h;35.0;V
2004-09-14;16:30;3h;36.4;V
2004-09-14;19:00;6h;42.2;V
2004-11-01;13:00;15mn;20.2;V
2004-11-01;13:15;30mn;23.4;V
2005-08-21;17:15;12h;57.6;V
2005-08-21;14:15;1h;43.0;V
2005-08-21;14:00;30mn;30.4;V
2005-08-21;16:00;3h;55.2;V
2005-08-21;17:15;6h;57.6;V
2005-09-09;09:15;15mn;20.0;V
2005-11-26;20:30;24h;75.8;V
2006-08-12;13:45;12h;126.4;V
2006-08-12;10:30;15mn;16.0;V
2006-08-12;10:45;1h;47.4;V
2006-08-12;22:30;24h;136.2;V
2006-08-12;10:30;30mn;29.0;V
2006-08-12;12:45;3h;73.4;V
2006-08-12;15:45;6h;95.8;V
2007-02-12;23:30;12h;42.6;V
2007-02-13;06:00;24h;45.2;V
2007-06-02;12:45;15mn;10.8;V
2007-06-02;13:00;1h;27.6;V
2007-06-02;12:45;30mn;19.4;V
2007-06-02;13:30;3h;29.2;V
2007-06-02;18:00;6h;37.6;V
2008-01-17;08:45;24h;75.2;V
2008-05-20;06:00;15mn;11.8;V
2008-05-20;06:30;1h;29.4;V
2008-05-20;08:00;3h;37.8;V
2008-06-17;17:30;30mn;20.2;V
2008-10-29;00:00;12h;59.0;V
2008-10-31;07:00;6h;46.8;V
2009-03-29;15:15;6h;53.6;V
2009-09-20;17:45;15mn;26.2;V
2009-09-20;18:30;1h;31.2;V
2009-09-20;18:00;30mn;28.4;V
2009-09-20;20:30;3h;34.2;V
2009-12-22;10:30;12h;87.0;V
2009-12-23;01:45;24h;140.2;V
2010-10-05;01:15;15mn;10.0;V
2010-10-05;02:00;1h;30.4;V
2010-10-05;01:30;30mn;19.6;V
2010-10-05;03:30;3h;57.8;V
2010-10-05;05:30;6h;59.6;V
2010-12-22;12:15;12h;62.0;V
2010-12-22;16:30;24h;88.6;V
2011-06-09;07:30;15mn;8.6;D
2011-06-09;07:30;30mn;10.0;D
2011-10-26;09:15;12h;66.8;D
2011-10-26;02:30;1h;16.0;D
2011-10-26;09:15;24h;79.6;D
2011-10-26;04:00;3h;33.6;D
2011-10-26;05:15;6h;53.0;D
2012-11-05;05:15;15mn;11.0;D
2012-11-05;05:30;1h;27.8;D
2012-11-05;05:15;30mn;18.0;D
2012-11-05;06:15;3h;42.2;D
2012-12-15;15:00;12h;78.2;D
2012-12-15;16:45;24h;98.6;D
2012-12-15;14:15;6h;55.2;D
2013-09-29;11:15;15mn;13.2;V
2013-10-21;08:45;12h;124.4;V
2013-10-21;02:00;1h;37.8;V
2013-10-21;08:45;24h;124.8;V
2013-10-21;01:30;30mn;19.8;V
2013-10-21;03:15;3h;69.8;V
2013-10-21;04:00;6h;114.6;V
2014-09-20;06:30;12h;128.6;V
2014-09-20;00:15;15mn;21.4;V
2014-09-20;05:45;1h;38.2;V
2014-09-20;06:30;24h;132.6;V
2014-09-20;00:15;30mn;26.6;V
2014-09-20;05:45;3h;78.2;V
2014-09-20;05:45;6h;122.4;V
2015-08-10;13:30;15mn;14.8;V
2015-08-10;13:45;30mn;21.0;V
2015-10-13;14:15;12h;86.2;V
2015-10-13;10:15;1h;23.8;V
2015-10-13;12:15;3h;53.6;V
2015-10-13;13:00;6h;85.2;V
2015-10-14;06:30;24h;106.2;V
2016-09-16;17:30;12h;99.2;V
2016-09-16;09:00;15mn;11.4;V
2016-09-16;09:15;1h;30.0;V
2016-09-16;09:15;30mn;18.6;V
2016-09-16;10:45;3h;62.4;V
2016-09-16;13:15;6h;91.2;V
2016-09-17;02:45;24h;100.2;V
2017-06-15;14:45;15mn;14.0;V
2017-06-15;15:00;1h;30.2;V
2017-06-15;14:45;30mn;22.6;V
2017-09-10;08:45;12h;106.6;V
2017-09-10;10:45;24h;117.8;V
2017-09-10;04:15;3h;56.0;V
2017-09-10;07:00;6h;80.4;V
2018-03-12;02:45;24h;56.8;P
2018-03-16;00:45;12h;50.2;P
2018-07-06;13:30;1h;31.6;P
2018-07-06;13:00;30mn;28.8;P
2018-09-18;17:00;15mn;15.4;P
2018-10-29;06:45;3h;36.2;P
2018-10-29;08:45;6h;39.6;P
2019-05-22;17:00;30mn;15.4;P
2019-06-22;16:00;1h;19.8;P
2019-06-22;17:45;3h;45.6;P
2019-10-15;18:00;15mn;9.2;P
2019-11-17;06:15;12h;96.2;P
2019-11-17;06:15;24h;105.8;P
2019-11-17;06:15;6h;58.0;P
2020-08-29;23:30;30mn;16.4;P
2020-10-04;21:15;15mn;11.4;P
2020-10-04;22:00;1h;27.0;P
2020-10-04;23:45;3h;59.8;P
2020-10-05;06:45;12h;72.6;P
2020-10-05;06:45;24h;77.0;P
2020-10-05;01:45;6h;68.6;P
2021-04-12;17:45;24h;68.2;P
2021-07-13;12:15;15mn;15.0;P
2021-07-13;12:30;1h;26.0;P
2021-07-13;12:15;30mn;24.4;P
2021-11-01;20:30;12h;46.2;P
2021-11-01;19:30;3h;32.6;P
2021-11-01;19:45;6h;44.2;P
2022-05-28;12:45;1h;28.2;P
2022-09-15;15:45;15mn;18.2;P
2022-09-15;16:00;30mn;22.8;P
2022-12-09;21:30;24h;121.8;P
2022-12-15;19:30;3h;32.4;P
2022-12-15;22:00;6h;60.8;P
2022-12-16;01:15;12h;76.2;P
2023-10-30;00:30;15mn;20.2;P
2023-10-30;01:15;1h;36.0;P
2023-10-30;00:45;30mn;31.6;P
2023-11-02;21:15;3h;75.2;P
2023-11-02;21:30;6h;115.0;P
2023-11-03;03:45;12h;140.2;P
2023-11-03;11:30;24h;153.4;P
2024-06-25;04:30;24h;158.8;P
2024-09-08;14:30;15mn;21.2;P
2024-09-08;15:00;1h;40.6;P
2024-09-08;14:30;30mn;34.8;P
2024-09-08;17:00;3h;71.6;P
2024-09-08;19:45;6h;107.8;P
2024-09-09;01:15;12h;122.8;P
2025-03-14;22:15;24h;111.0;P
2025-08-20;17:45;15mn;19.8;P
2025-08-20;18:00;1h;34.4;P
2025-08-20;18:00;30mn;30.6;P
2025-09-02;06:45;3h;53.8;P
2025-10-30;19:45;12h;93.0;P
2025-10-30;17:30;6h;72.6;P
