Id Sensore;Data-Ora;Valore Medio Giornaliero; Minimo Valore Medio Orario; Massimo Valore Medio Orario
9007;01/01/2004 00:00;1.8;-0.7;5.7
9007;02/01/2004 00:00;0.1;-1.1;1.1
9007;03/01/2004 00:00;-0.6;-3.9;2
9007;04/01/2004 00:00;-4;-5.5;-0.3
9007;05/01/2004 00:00;-0.8;-5.2;7.1
9007;06/01/2004 00:00;-1.1;-2.7;2.3
9007;07/01/2004 00:00;-1;-4.3;5.3
9007;08/01/2004 00:00;0;-2.6;3.4
9007;09/01/2004 00:00;0.2;-1.4;2.5
9007;10/01/2004 00:00;4.1;-0.5;10.4
9007;11/01/2004 00:00;2.1;-0.8;7.1
9007;12/01/2004 00:00;2.2;-0.6;6.5
9007;13/01/2004 00:00;4.2;0.8;10.3
9007;14/01/2004 00:00;6;1.4;13.8
9007;15/01/2004 00:00;4.2;0.1;7.4
9007;16/01/2004 00:00;1.5;-2.1;6.4
9007;17/01/2004 00:00;1.7;-0.7;5.6
9007;18/01/2004 00:00;0.6;-0.4;1.8
9007;19/01/2004 00:00;0;-3.2;4.7
9007;20/01/2004 00:00;2.8;-2.9;10.7
9007;21/01/2004 00:00;0.6;-1.4;4
9007;22/01/2004 00:00;-0.6;-1.6;1.5
9007;23/01/2004 00:00;-2.1;-2.7;-1.4
9007;24/01/2004 00:00;-2.8;-4.4;-0.1
9007;25/01/2004 00:00;-2.5;-5.9;4.2
9007;26/01/2004 00:00;-2.7;-5.4;-0.7
9007;27/01/2004 00:00;-1.3;-3.3;2.6
9007;28/01/2004 00:00;-0.2;-4.1;4.5
9007;29/01/2004 00:00;-2.3;-6.1;2.4
9007;30/01/2004 00:00;-1.4;-6.1;6.6
9007;31/01/2004 00:00;0;-3.2;3
9007;01/02/2004 00:00;2.3;-0.7;9.6
9007;02/02/2004 00:00;2.7;-1.3;9.6
9007;03/02/2004 00:00;8;5.3;15.2
9007;04/02/2004 00:00;8.3;4.4;17
9007;05/02/2004 00:00;8;3.2;17.7
9007;06/02/2004 00:00;6.2;2.7;13.6
9007;07/02/2004 00:00;4.6;2.4;7.5
9007;08/02/2004 00:00;5.5;0.6;11.9
9007;09/02/2004 00:00;5.8;0.6;11.5
9007;10/02/2004 00:00;2.1;-1.7;8.1
9007;11/02/2004 00:00;5.4;-1.7;12.7
9007;12/02/2004 00:00;3.1;-0.3;7.7
9007;13/02/2004 00:00;0.5;-1.3;4.9
9007;14/02/2004 00:00;2.6;-2.4;12
9007;15/02/2004 00:00;3.2;-1.3;10.5
9007;16/02/2004 00:00;3.2;-1.1;10.5
9007;17/02/2004 00:00;2.5;-0.3;6.3
9007;18/02/2004 00:00;2.7;0.5;7.4
9007;19/02/2004 00:00;0.2;-0.3;0.9
9007;20/02/2004 00:00;0.1;-0.5;1.1
9007;21/02/2004 00:00;0.3;-0.3;1.1
9007;22/02/2004 00:00;2.7;1;4.2
9007;23/02/2004 00:00;2.8;0.9;4.3
9007;24/02/2004 00:00;0.5;-4.5;3.3
9007;25/02/2004 00:00;-2.6;-6.7;1.3
9007;26/02/2004 00:00;-0.8;-2.8;2.6
9007;27/02/2004 00:00;-2.4;-7.6;0.5
9007;28/02/2004 00:00;-4.1;-8.7;0.3
9007;29/02/2004 00:00;-1;-3.9;2.6
9007;01/03/2004 00:00;-2.1;-7;3.3
9007;02/03/2004 00:00;-1.4;-6.1;4.8
9007;03/03/2004 00:00;2.6;-3.1;10.1
9007;04/03/2004 00:00;3.1;0;8.3
9007;05/03/2004 00:00;1.6;-0.9;4.3
9007;06/03/2004 00:00;0.2;-0.5;1.4
9007;07/03/2004 00:00;0.5;-0.9;2.6
9007;08/03/2004 00:00;0.9;-1.2;4
9007;09/03/2004 00:00;1.6;-2.4;6.8
9007;10/03/2004 00:00;-0.2;-1.7;1.1
9007;11/03/2004 00:00;0.4;-0.1;1.2
9007;12/03/2004 00:00;2.4;-0.5;6.2
9007;13/03/2004 00:00;3.8;1.1;8
9007;14/03/2004 00:00;3.5;2;6.3
9007;15/03/2004 00:00;6.9;1.3;14.6
9007;16/03/2004 00:00;9.4;3.2;18
9007;17/03/2004 00:00;11;4.2;20.1
9007;18/03/2004 00:00;11.3;5.2;19.3
9007;19/03/2004 00:00;10.1;5.1;17.1
9007;20/03/2004 00:00;9.3;4.4;15.3
9007;21/03/2004 00:00;9.8;7.4;13.1
9007;22/03/2004 00:00;8.4;3;12.9
9007;23/03/2004 00:00;2.5;0.5;4.2
9007;24/03/2004 00:00;5.1;0.5;10.2
9007;25/03/2004 00:00;5.7;1.4;9.6
9007;26/03/2004 00:00;2.5;0.2;5.2
9007;27/03/2004 00:00;1.7;0.1;6
9007;28/03/2004 00:00;3.4;-1.9;9.4
9007;29/03/2004 00:00;5.7;-0.5;12.5
9007;30/03/2004 00:00;6.6;1.5;11.2
9007;31/03/2004 00:00;7.7;3.8;12.6
9007;01/04/2004 00:00;8.2;2;14.9
9007;02/04/2004 00:00;9.7;3.6;15.7
9007;03/04/2004 00:00;9.9;6.8;14.8
9007;04/04/2004 00:00;10.2;5.1;16.4
9007;05/04/2004 00:00;10.3;6.4;16.5
9007;06/04/2004 00:00;8.5;5.8;13.9
9007;07/04/2004 00:00;7.8;2.1;12.8
9007;08/04/2004 00:00;4.5;-0.6;10.1
9007;09/04/2004 00:00;2.1;0.4;4.2
9007;10/04/2004 00:00;2.8;0.2;6.7
9007;11/04/2004 00:00;6;-0.8;13.6
9007;12/04/2004 00:00;5.9;2.6;11.3
9007;13/04/2004 00:00;5.8;4;9.1
9007;14/04/2004 00:00;6.7;2.9;10.3
9007;15/04/2004 00:00;5.2;4.7;6.8
9007;16/04/2004 00:00;5.8;3.9;7.3
9007;17/04/2004 00:00;8.3;4.1;12.5
9007;18/04/2004 00:00;7.6;6.5;9.7
9007;19/04/2004 00:00;4.8;1.2;6.7
9007;20/04/2004 00:00;9.8;3.6;17.1
9007;21/04/2004 00:00;10.9;4.7;16.8
9007;22/04/2004 00:00;12.7;6.1;18.3
9007;23/04/2004 00:00;12.6;8.9;19.1
9007;24/04/2004 00:00;14.9;9;22.5
9007;25/04/2004 00:00;10.3;4.6;15.3
9007;26/04/2004 00:00;10.1;4.9;15.4
9007;27/04/2004 00:00;11.8;7.9;15.8
9007;28/04/2004 00:00;12.1;6.4;16.8
9007;29/04/2004 00:00;11;9;15.4
9007;30/04/2004 00:00;9.3;8.2;10.7
9007;01/05/2004 00:00;10.7;6.1;14.9
9007;02/05/2004 00:00;10.1;5.3;14.1
9007;03/05/2004 00:00;8.2;6.9;9.1
9007;04/05/2004 00:00;9.4;7.7;12.1
9007;05/05/2004 00:00;7.3;6.2;8
9007;06/05/2004 00:00;5.1;3.3;8.1
9007;07/05/2004 00:00;5.3;2.2;9.6
9007;08/05/2004 00:00;7.5;1.4;11.9
9007;09/05/2004 00:00;8;4.4;11.9
9007;10/05/2004 00:00;9.1;2.4;13.6
9007;11/05/2004 00:00;11.2;7.7;17
9007;12/05/2004 00:00;10.4;6.6;16.3
9007;13/05/2004 00:00;11.6;6.6;17
9007;14/05/2004 00:00;12.5;7.6;17
9007;15/05/2004 00:00;12;8;16
9007;16/05/2004 00:00;15.7;6.6;24.5
9007;17/05/2004 00:00;13.4;7.1;18.6
9007;18/05/2004 00:00;14.4;7.2;20.7
9007;19/05/2004 00:00;16.8;9;24.1
9007;20/05/2004 00:00;17.2;11.1;22.8
9007;21/05/2004 00:00;14.1;10.3;17.5
9007;22/05/2004 00:00;12.7;9.2;16.9
9007;23/05/2004 00:00;12.7;8.8;19
9007;24/05/2004 00:00;10.2;4.9;14.4
9007;25/05/2004 00:00;11.2;4.1;17.4
9007;26/05/2004 00:00;13.2;6.3;19.2
9007;27/05/2004 00:00;14.4;8.2;20.3
9007;28/05/2004 00:00;11.9;7.8;15.8
9007;29/05/2004 00:00;12.2;6.1;17.1
9007;30/05/2004 00:00;14.3;7.6;20
9007;31/05/2004 00:00;14;9.8;18
9007;01/06/2004 00:00;12.6;11.1;14.9
9007;02/06/2004 00:00;14.7;8.8;19.7
9007;03/06/2004 00:00;16.5;11.7;22.2
9007;04/06/2004 00:00;16.7;9.5;22.6
9007;05/06/2004 00:00;16.3;11;20.7
9007;06/06/2004 00:00;14.9;10.2;19.2
9007;07/06/2004 00:00;16.3;9.4;22.4
9007;08/06/2004 00:00;18.8;11.2;25.2
9007;09/06/2004 00:00;21.3;13.8;27.9
9007;10/06/2004 00:00;22.2;15.1;29.5
9007;11/06/2004 00:00;21;14.6;27.1
9007;12/06/2004 00:00;18.9;13.3;25.3
9007;13/06/2004 00:00;12.3;9.7;15.4
9007;14/06/2004 00:00;15.1;8.9;21.6
9007;15/06/2004 00:00;17.2;10.7;22.3
9007;16/06/2004 00:00;18.1;12.5;23.8
9007;17/06/2004 00:00;16.9;11.8;21
9007;18/06/2004 00:00;19.3;11.3;26.2
9007;19/06/2004 00:00;17.3;14;21.7
9007;20/06/2004 00:00;13.3;9.6;18.5
9007;21/06/2004 00:00;13.9;9;19.1
9007;22/06/2004 00:00;14.8;11.9;18.6
9007;23/06/2004 00:00;16.5;12.4;20.5
9007;24/06/2004 00:00;17.9;12;22.7
9007;25/06/2004 00:00;19.5;14.2;25.8
9007;26/06/2004 00:00;18.2;15.3;21.7
9007;27/06/2004 00:00;20.7;13.5;27.9
9007;28/06/2004 00:00;21.6;15.5;27
9007;29/06/2004 00:00;20.7;16.2;24.7
9007;30/06/2004 00:00;20;16.6;24
9007;01/07/2004 00:00;17.9;15.4;22.7
9007;02/07/2004 00:00;19.2;15.2;24.4
9007;03/07/2004 00:00;16.6;11.5;22.3
9007;04/07/2004 00:00;17.3;13;22.4
9007;05/07/2004 00:00;19.5;13.4;24.9
9007;06/07/2004 00:00;20;14.4;24.5
9007;07/07/2004 00:00;18.8;15.9;23.2
9007;08/07/2004 00:00;16.8;14.4;18.6
9007;09/07/2004 00:00;17.7;10.7;22.8
9007;10/07/2004 00:00;16.5;11.6;21.2
9007;11/07/2004 00:00;15.7;11.4;20.6
9007;12/07/2004 00:00;12.2;8.2;15
9007;13/07/2004 00:00;13.7;6.6;19.6
9007;14/07/2004 00:00;15.9;9.1;22.8
9007;15/07/2004 00:00;18.6;10.8;25.9
9007;16/07/2004 00:00;19.4;13.9;24.7
9007;17/07/2004 00:00;19.8;14;25.5
9007;18/07/2004 00:00;20.5;16.5;25.2
9007;19/07/2004 00:00;20.7;16;26
9007;20/07/2004 00:00;20.4;15.9;25.6
9007;21/07/2004 00:00;22;15.1;28.8
9007;22/07/2004 00:00;23.4;16.6;30.6
9007;23/07/2004 00:00;24.1;17.9;31.2
9007;24/07/2004 00:00;17.1;14.6;20.5
9007;25/07/2004 00:00;19.4;13.6;24.8
9007;26/07/2004 00:00;18.7;15.2;22.7
9007;27/07/2004 00:00;17.1;12.4;21.2
9007;28/07/2004 00:00;17.4;12.5;21.8
9007;29/07/2004 00:00;19;14.8;24
9007;30/07/2004 00:00;19.9;13.4;26.6
9007;31/07/2004 00:00;21.1;15.5;26.3
9007;01/08/2004 00:00;22;16.2;28
9007;02/08/2004 00:00;22.3;17;27.1
9007;03/08/2004 00:00;19.4;15.8;26.1
9007;04/08/2004 00:00;18.4;15.7;22.6
9007;05/08/2004 00:00;17.4;13.9;24.6
9007;06/08/2004 00:00;16.8;13.2;22.8
9007;07/08/2004 00:00;19.3;13.3;25.4
9007;08/08/2004 00:00;18;14.7;23.3
9007;09/08/2004 00:00;18.1;13.5;23.1
9007;10/08/2004 00:00;-999;-999;-999
9007;11/08/2004 00:00;-999;-999;-999
9007;12/08/2004 00:00;-999;-999;-999
9007;13/08/2004 00:00;-999;-999;-999
9007;14/08/2004 00:00;-999;-999;-999
9007;15/08/2004 00:00;-999;-999;-999
9007;16/08/2004 00:00;-999;-999;-999
9007;17/08/2004 00:00;-999;-999;-999
9007;18/08/2004 00:00;-999;-999;-999
9007;19/08/2004 00:00;-999;-999;-999
9007;20/08/2004 00:00;-999;-999;-999
9007;21/08/2004 00:00;-999;-999;-999
9007;22/08/2004 00:00;-999;-999;-999
9007;23/08/2004 00:00;-999;-999;-999
9007;24/08/2004 00:00;-999;-999;-999
9007;25/08/2004 00:00;18.2;14.3;23.4
9007;26/08/2004 00:00;17.9;12.1;24.2
9007;27/08/2004 00:00;17.1;11.7;23.7
9007;28/08/2004 00:00;17.1;10.9;23.7
9007;29/08/2004 00:00;18;12.8;23.2
9007;30/08/2004 00:00;17.6;12.2;22.8
9007;31/08/2004 00:00;17.8;15;21.6
9007;01/09/2004 00:00;16.2;14.3;20.1
9007;02/09/2004 00:00;17.8;12.7;23.8
9007;03/09/2004 00:00;19.3;13.1;26.2
9007;04/09/2004 00:00;20;14.9;26.7
9007;05/09/2004 00:00;18.9;14.2;24.9
9007;06/09/2004 00:00;17.8;15.2;21.5
9007;07/09/2004 00:00;17.8;12.9;23.7
9007;08/09/2004 00:00;17.8;12.2;24.6
9007;09/09/2004 00:00;17.6;13.4;22
9007;10/09/2004 00:00;17;13.3;21.8
9007;11/09/2004 00:00;15.9;11.1;20.9
9007;12/09/2004 00:00;14.8;12.6;18
9007;13/09/2004 00:00;14.9;11.6;19.9
9007;14/09/2004 00:00;14.1;12;16.5
9007;15/09/2004 00:00;14.9;11.4;19.8
9007;16/09/2004 00:00;12.3;10.9;14.8
