Data;Precipitazioni;Intensità massima
1/1/2002;0,00;0,00
2/1/2002;0,00;0
3/1/2002;0;0
4/1/2002;0;0
5/1/2002;0;0
6/1/2002;0;0
7/1/2002;0;0
8/1/2002;0;0
9/1/2002;0;0
10/1/2002;0;0
11/1/2002;0;0
12/1/2002;0;0
13/1/2002;0;0
14/1/2002;0;0
15/1/2002;0;0
16/1/2002;0;0
17/1/2002;0;0
18/1/2002;0;0
19/1/2002;0;0
20/1/2002;0;0
21/1/2002;0;0
22/1/2002;0;0
23/1/2002;5,8;1,4
24/1/2002;20,8;2,6
25/1/2002;0,2;0,2
26/1/2002;0;0
27/1/2002;0;0
28/1/2002;0;0
29/1/2002;0;0
30/1/2002;0;0
31/1/2002;0;0
1/2/2002;0;0
2/2/2002;0;0
3/2/2002;0;0
4/2/2002;0;0
5/2/2002;2,8;1
6/2/2002;57,6;4
7/2/2002;6;1,8
8/2/2002;0,2;0,2
9/2/2002;0;0
10/2/2002;0;0
11/2/2002;0;0
12/2/2002;0;0
13/2/2002;0;0
14/2/2002;8,2;1,2
15/2/2002;21,8;3
16/2/2002;3,2;0,8
17/2/2002;30,2;5,8
18/2/2002;0,2;0,2
19/2/2002;0;0
20/2/2002;0;0
21/2/2002;0,6;0,4
22/2/2002;0;0
23/2/2002;0;0
24/2/2002;0;0
25/2/2002;0;0
26/2/2002;0;0
27/2/2002;3;0,8
28/2/2002;2;1
1/3/2002;21,2;3
2/3/2002;30,8;3,4
3/3/2002;42;8,8
4/3/2002;0;0
5/3/2002;0;0
6/3/2002;15,8;3
7/3/2002;0,2;0,2
8/3/2002;0;0
9/3/2002;0;0
10/3/2002;0;0
11/3/2002;0;0
12/3/2002;0;0
13/3/2002;0;0
14/3/2002;4;2,6
15/3/2002;2,8;1,4
16/3/2002;0;0
17/3/2002;0;0
18/3/2002;0;0
19/3/2002;0;0
20/3/2002;0;0
21/3/2002;0;0
22/3/2002;0;0
23/3/2002;0;0
24/3/2002;0;0
25/3/2002;0;0
26/3/2002;0;0
27/3/2002;0;0
28/3/2002;0;0
29/3/2002;0;0
30/3/2002;0;0
31/3/2002;0;0
1/4/2002;0;0
2/4/2002;0;0
3/4/2002;0;0
4/4/2002;2,6;1,6
5/4/2002;0,4;0,2
6/4/2002;0,6;0,6
7/4/2002;0;0
8/4/2002;15,8;2,8
9/4/2002;18,2;4,4
10/4/2002;3,6;1,4
11/4/2002;7,6;1,6
12/4/2002;11,4;2,4
13/4/2002;0;0
14/4/2002;4,6;1
15/4/2002;6,2;3
16/4/2002;8,4;2,8
17/4/2002;0,2;0,2
18/4/2002;0,2;0,2
19/4/2002;8,8;2,8
20/4/2002;0,2;0,2
21/4/2002;0;0
22/4/2002;0;0
23/4/2002;0;0
24/4/2002;0;0
25/4/2002;0;0
26/4/2002;0;0
27/4/2002;1;0,4
28/4/2002;0;0
29/4/2002;0;0
30/4/2002;0;0
1/5/2002;3,6;1,2
2/5/2002;29,2;6,2
3/5/2002;95,8;19,4
4/5/2002;51,2;8,2
5/5/2002;31,4;9,2
6/5/2002;0,6;0,6
7/5/2002;0;0
8/5/2002;15,2;2,8
9/5/2002;29;7,6
10/5/2002;6,6;6
11/5/2002;11;4,2
12/5/2002;42,2;11,6
13/5/2002;0,2;0,2
14/5/2002;0;0
15/5/2002;0;0
16/5/2002;0;0
17/5/2002;0;0
18/5/2002;0;0
19/5/2002;0;0
20/5/2002;0;0
21/5/2002;0;0
22/5/2002;0;0
23/5/2002;0;0
24/5/2002;0;0
25/5/2002;0;0
26/5/2002;0;0
27/5/2002;0;0
28/5/2002;0;0
29/5/2002;0;0
30/5/2002;0;0
31/5/2002;0;0
1/6/2002;0;0
2/6/2002;0;0
3/6/2002;0;0
4/6/2002;0;0
5/6/2002;0;0
6/6/2002;0;0
7/6/2002;0;0
8/6/2002;0;0
9/6/2002;0;0
10/6/2002;0;0
11/6/2002;0;0
12/6/2002;0;0
13/6/2002;0;0
14/6/2002;0;0
15/6/2002;0;0
16/6/2002;0;0
17/6/2002;0;0
18/6/2002;0;0
19/6/2002;0;0
20/6/2002;0;0
21/6/2002;0;0
22/6/2002;0;0
23/6/2002;0;0
24/6/2002;0;0
25/6/2002;0;0
26/6/2002;0;0
27/6/2002;8,8;5,4
28/6/2002;57,6;32,6
29/6/2002;0;0
30/6/2002;0;0
1/7/2002;3,4;3,4
2/7/2002;8;3,2
3/7/2002;25;14,8
4/7/2002;0,2;0,2
5/7/2002;0;0
6/7/2002;17,8;7,2
7/7/2002;0;0
8/7/2002;0;0
9/7/2002;0;0
10/7/2002;0;0
11/7/2002;0,2;0,2
12/7/2002;0;0
13/7/2002;65,6;33,4
14/7/2002;23,2;3,8
15/7/2002;25,6;9,8
16/7/2002;1,8;0,6
17/7/2002;0;0
18/7/2002;17,4;12
19/7/2002;0,2;0,2
20/7/2002;0;0
21/7/2002;4,8;4,6
22/7/2002;0;0
23/7/2002;0;0
24/7/2002;0;0
25/7/2002;0;0
26/7/2002;0;0
27/7/2002;0;0
28/7/2002;0;0
29/7/2002;11,8;5,6
30/7/2002;0;0
31/7/2002;12;11,4
1/8/2002;2;1,8
2/8/2002;0;0
3/8/2002;20,4;13,2
4/8/2002;18,4;7,4
5/8/2002;11;6,8
6/8/2002;15;5,8
7/8/2002;0;0
8/8/2002;0;0
9/8/2002;13,4;5,6
10/8/2002;39,6;9,2
11/8/2002;25,8;3,6
12/8/2002;0,2;0,2
