Data;precipitazioni
1/1/1951;0.0
2/1/1951;36.0
3/1/1951;0.0
4/1/1951;3.0
5/1/1951;0.0
6/1/1951;0.0
7/1/1951;0.0
8/1/1951;0.0
9/1/1951;0.0
10/1/1951;0.0
11/1/1951;7.0
12/1/1951;48.0
13/1/1951;0.0
14/1/1951;0.0
15/1/1951;0.0
16/1/1951;0.0
17/1/1951;0.0
18/1/1951;0.0
19/1/1951;0.0
20/1/1951;0.0
21/1/1951;0.0
22/1/1951;0.0
23/1/1951;0.0
24/1/1951;16.0
25/1/1951;31.0
26/1/1951;0.0
27/1/1951;6.0
28/1/1951;1.0
29/1/1951;0.0
30/1/1951;0.0
31/1/1951;0.0
1/2/1951;0.0
2/2/1951;0.0
3/2/1951;3.0
4/2/1951;26.0
5/2/1951;57.0
6/2/1951;26.0
7/2/1951;2.0
8/2/1951;0.0
9/2/1951;0.0
10/2/1951;13.0
11/2/1951;22.0
12/2/1951;21.0
13/2/1951;40.0
14/2/1951;6.0
15/2/1951;10.0
16/2/1951;0.0
17/2/1951;0.0
18/2/1951;1.0
19/2/1951;0.0
20/2/1951;10.0
21/2/1951;15.0
22/2/1951;0.0
23/2/1951;0.0
24/2/1951;17.0
25/2/1951;7.0
26/2/1951;0.0
27/2/1951;0.0
28/2/1951;0.0
1/3/1951;0.0
2/3/1951;0.0
3/3/1951;0.0
4/3/1951;0.0
5/3/1951;0.0
6/3/1951;0.0
7/3/1951;8.0
8/3/1951;18.0
9/3/1951;2.0
10/3/1951;0.0
11/3/1951;17.0
12/3/1951;9.0
13/3/1951;71.0
14/3/1951;6.0
15/3/1951;0.0
16/3/1951;0.0
17/3/1951;14.0
18/3/1951;0.0
19/3/1951;5.0
20/3/1951;0.0
21/3/1951;0.0
22/3/1951;0.0
23/3/1951;2.0
24/3/1951;0.0
25/3/1951;0.0
26/3/1951;0.0
27/3/1951;0.0
28/3/1951;13.0
29/3/1951;20.0
30/3/1951;45.0
31/3/1951;0.0
1/4/1951;0.0
2/4/1951;22.0
3/4/1951;13.0
4/4/1951;0.0
5/4/1951;0.0
6/4/1951;0.0
7/4/1951;48.0
8/4/1951;7.0
9/4/1951;1.5
10/4/1951;45.0
11/4/1951;2.0
12/4/1951;0.0
13/4/1951;0.0
14/4/1951;2.0
15/4/1951;0.0
16/4/1951;0.0
17/4/1951;0.0
18/4/1951;4.0
19/4/1951;0.0
20/4/1951;0.0
21/4/1951;0.0
22/4/1951;0.0
23/4/1951;0.0
24/4/1951;0.0
25/4/1951;0.0
26/4/1951;15.0
27/4/1951;3.0
28/4/1951;45.0
29/4/1951;0.0
30/4/1951;0.0
1/5/1951;2.0
2/5/1951;1.0
3/5/1951;9.0
4/5/1951;6.0
5/5/1951;0.0
6/5/1951;1.0
7/5/1951;20.0
8/5/1951;14.0
9/5/1951;1.0
10/5/1951;3.0
11/5/1951;13.0
12/5/1951;0.0
13/5/1951;0.0
14/5/1951;0.0
15/5/1951;7.0
16/5/1951;0.0
17/5/1951;27.0
18/5/1951;4.0
19/5/1951;8.0
20/5/1951;0.0
21/5/1951;0.0
22/5/1951;0.0
23/5/1951;0.0
24/5/1951;0.0
25/5/1951;0.0
26/5/1951;15.0
27/5/1951;29.0
28/5/1951;0.0
29/5/1951;0.0
30/5/1951;12.0
31/5/1951;19.0
1/6/1951;12.0
2/6/1951;8.0
3/6/1951;11.0
4/6/1951;2.0
5/6/1951;0.0
6/6/1951;0.0
7/6/1951;0.0
8/6/1951;49.0
9/6/1951;0.0
10/6/1951;0.0
11/6/1951;0.0
12/6/1951;0.0
13/6/1951;0.0
14/6/1951;0.0
15/6/1951;0.0
16/6/1951;9.0
17/6/1951;0.0
18/6/1951;0.0
