"Time","TEMPERATURA ARIA PRACASTELLO (ZP013M002)","PRECIPITAZIONI PRACASTELLO (ZP013M007)","INTENSITA PIOGGIA PRACASTELLO (ZP013M107)"
"2026-03-13 16:50:00","12.14","0","0"
"2026-03-13 16:40:00","12.68","0","0"
"2026-03-13 16:30:00","12.92","0","0"
"2026-03-13 16:20:00","13.12","0","0"
"2026-03-13 16:10:00","13.29","0","0"
"2026-03-13 16:00:00","13.72","0","0"
"2026-03-13 15:50:00","13.84","0","0"
"2026-03-13 15:40:00","14.04","0","0"
"2026-03-13 15:30:00","13.99","0","0"
"2026-03-13 15:20:00","14.02","0","0"
"2026-03-13 15:10:00","13.96","0","0"
"2026-03-13 15:00:00","13.91","0","0"
"2026-03-13 14:50:00","13.74","0","0"
"2026-03-13 14:40:00","13.99","0","0"
"2026-03-13 14:30:00","14.05","0","0"
"2026-03-13 14:20:00","14.19","0","0"
"2026-03-13 14:10:00","14.38","0","0"
"2026-03-13 14:00:00","14.57","0","0"
"2026-03-13 13:50:00","14.5","0","0"
"2026-03-13 13:40:00","14.57","0","0"
"2026-03-13 13:30:00","14.55","0","0"
"2026-03-13 13:20:00","14.38","0","0"
"2026-03-13 13:10:00","14.29","0","0"
"2026-03-13 13:00:00","14.24","0","0"
"2026-03-13 12:50:00","14.11","0","0"
"2026-03-13 12:40:00","14.06","0","0"
"2026-03-13 12:30:00","14.1","0","0"
"2026-03-13 12:20:00","14.11","0","0"
"2026-03-13 12:10:00","13.98","0","0"
"2026-03-13 12:00:00","14.12","0","0"
"2026-03-13 11:50:00","14.13","0","0"
"2026-03-13 11:40:00","14.26","0","0"
"2026-03-13 11:30:00","14.38","0","0"
"2026-03-13 11:20:00","14.76","0","0"
"2026-03-13 11:10:00","14.32","0","0"
"2026-03-13 11:00:00","14.26","0","0"
"2026-03-13 10:50:00","13.74","0","0"
"2026-03-13 10:40:00","13.5","0","0"
"2026-03-13 10:30:00","13.02","0","0"
"2026-03-13 10:20:00","12.41","0","0"
"2026-03-13 10:10:00","11.85","0","0"
"2026-03-13 10:00:00","11.26","0","0"
"2026-03-13 09:50:00","10.44","0","0"
"2026-03-13 09:40:00","9.63","0","0"
"2026-03-13 09:30:00","8.4","0","0"
"2026-03-13 09:20:00","7.16","0","0"
"2026-03-13 09:10:00","6.82","0","0"
"2026-03-13 09:00:00","6.87","0","0"
"2026-03-13 08:50:00","6.71","0","0"
"2026-03-13 08:40:00","6.57","0","0"
"2026-03-13 08:30:00","6.48","0","0"
"2026-03-13 08:20:00","6.45","0","0"
"2026-03-13 08:10:00","6.47","0","0"
"2026-03-13 08:00:00","6.28","0","0"
"2026-03-13 07:50:00","6.24","0","0"
"2026-03-13 07:40:00","5.77","0","0"
"2026-03-13 07:30:00","5.49","0","0"
"2026-03-13 07:20:00","5.17","0","0"
"2026-03-13 07:10:00","5.03","0","0"
"2026-03-13 07:00:00","5.11","0","0"
"2026-03-13 06:50:00","5.22","0","0"
"2026-03-13 06:40:00","5.26","0","0"
"2026-03-13 06:30:00","5.34","0","0"
"2026-03-13 06:20:00","5.29","0","0"
"2026-03-13 06:10:00","5.02","0","0"
"2026-03-13 06:00:00","4.97","0","0"
"2026-03-13 05:50:00","5.08","0","0"
"2026-03-13 05:40:00","5.31","0","0"
"2026-03-13 05:30:00","5.39","0","0"
"2026-03-13 05:20:00","5.51","0","0"
"2026-03-13 05:10:00","5.58","0","0"
"2026-03-13 05:00:00","5.74","0","0"
"2026-03-13 04:50:00","5.69","0","0"
"2026-03-13 04:40:00","5.62","0","0"
"2026-03-13 04:30:00","5.59","0","0"
"2026-03-13 04:20:00","5.67","0","0"
